url,popularity_score,metascore,oscars,rank_2024,title,year,run_time,IMBD_rating_2024
https://www.imdb.com/title/tt0382932/?ref_=chttp_t_188,460.0,96.0,1.0,199,Ratatouille,2007,1h 51m,8.1
https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189,484.0,71.0,2.0,190,Hacksaw Ridge,2016,2h 19m,8.1
https://www.imdb.com/title/tt0092005/?ref_=chttp_t_190,501.0,75.0,,234,Stand by Me,1986,1h 29m,8.1
https://www.imdb.com/title/tt1454029/?ref_=chttp_t_191,508.0,62.0,1.0,247,The Help,2011,2h 26m,8.1
https://www.imdb.com/title/tt0118715/?ref_=chttp_t_192,530.0,71.0,,215,The Big Lebowski,1998,1h 57m,8.1
https://www.imdb.com/title/tt0073195/?ref_=chttp_t_193,553.0,87.0,3.0,202,Jaws,1975,2h 4m,8.1
https://www.imdb.com/title/tt0070047/?ref_=chttp_t_194,643.0,83.0,2.0,228,The Exorcist,1973,2h 2m,8.1
https://www.imdb.com/title/tt0117951/?ref_=chttp_t_195,718.0,83.0,,172,Trainspotting,1996,1h 33m,8.1
https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196,725.0,75.0,,201,How to Train Your Dragon,2010,1h 38m,8.1
https://www.imdb.com/title/tt1950186/?ref_=chttp_t_197,763.0,81.0,2.0,208,Ford v Ferrari,2019,2h 32m,8.1
https://www.imdb.com/title/tt0353969/?ref_=chttp_t_198,767.0,82.0,,193,Memories of Murder,2003,2h 12m,8.1
https://www.imdb.com/title/tt0116282/?ref_=chttp_t_199,784.0,88.0,2.0,175,Fargo,1996,1h 38m,8.1
https://www.imdb.com/title/tt0059742/?ref_=chttp_t_200,794.0,63.0,5.0,236,The Sound of Music,1965,2h 52m,8.1
https://www.imdb.com/title/tt0077416/?ref_=chttp_t_201,873.0,90.0,5.0,200,The Deer Hunter,1978,3h 3m,8.1
https://www.imdb.com/title/tt0075148/?ref_=chttp_t_202,882.0,70.0,3.0,213,Rocky,1976,2h,8.1
https://www.imdb.com/title/tt1291584/?ref_=chttp_t_203,887.0,71.0,,176,Warrior,2011,2h 20m,8.1
https://www.imdb.com/title/tt0758758/?ref_=chttp_t_204,929.0,73.0,,240,Into the Wild,2007,2h 28m,8.1
https://www.imdb.com/title/tt0198781/?ref_=chttp_t_205,1011.0,79.0,1.0,197,"Monsters, Inc.",2001,1h 32m,8.1
https://www.imdb.com/title/tt2024544/?ref_=chttp_t_206,1016.0,96.0,3.0,186,12 Years a Slave,2013,2h 14m,8.1
https://www.imdb.com/title/tt0405159/?ref_=chttp_t_207,1028.0,86.0,4.0,180,Million Dollar Baby,2004,2h 12m,8.1
https://www.imdb.com/title/tt0087884/?ref_=chttp_t_208,1044.0,81.0,1.0,250,"Paris, Texas",1984,2h 25m,8.1
https://www.imdb.com/title/tt5027774/?ref_=chttp_t_209,1052.0,88.0,2.0,169,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1
https://www.imdb.com/title/tt1895587/?ref_=chttp_t_210,1167.0,93.0,2.0,218,Spotlight,2015,2h 9m,8.1
https://www.imdb.com/title/tt1979320/?ref_=chttp_t_211,1253.0,74.0,1.0,229,Rush,2013,2h 3m,8.1
https://www.imdb.com/title/tt0112471/?ref_=chttp_t_212,1274.0,78.0,,188,Before Sunrise,1995,1h 41m,8.1
https://www.imdb.com/title/tt0036868/?ref_=chttp_t_213,1304.0,93.0,7.0,227,The Best Years of Our Lives,1946,2h 50m,8.1
