url,popularity_score,metascore,oscars
https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96,572,77,Nominated for 1 Oscar
https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97,684,80,Nominated for 1 Oscar
https://www.imdb.com/title/tt0105236/?ref_=chttp_t_98,702,81,Awards
https://www.imdb.com/title/tt8503618/?ref_=chttp_t_99,729,88,Won 2 Primetime Emmys
https://www.imdb.com/title/tt0114709/?ref_=chttp_t_100,751,96,Nominated for 3 Oscars
https://www.imdb.com/title/tt1049413/?ref_=chttp_t_101,785,88,Won 2 Oscars
https://www.imdb.com/title/tt0211915/?ref_=chttp_t_102,817,70,Nominated for 5 Oscars
https://www.imdb.com/title/tt0057012/?ref_=chttp_t_103,"1,010",97,Nominated for 4 Oscars
https://www.imdb.com/title/tt0056172/?ref_=chttp_t_104,"1,161",100,Won 7 Oscars
https://www.imdb.com/title/tt0119698/?ref_=chttp_t_105,"1,307",76,Awards
https://www.imdb.com/title/tt0086190/?ref_=chttp_t_106,"1,326",58,Nominated for 4 Oscars
https://www.imdb.com/title/tt0435761/?ref_=chttp_t_107,"1,365",92,Won 2 Oscars
https://www.imdb.com/title/tt0053125/?ref_=chttp_t_108,"1,451",98,Nominated for 3 Oscars
https://www.imdb.com/title/tt0017136/?ref_=chttp_t_109,"1,518",98,Awards
https://www.imdb.com/title/tt0056592/?ref_=chttp_t_110,"1,707",88,Won 3 Oscars
https://www.imdb.com/title/tt0052357/?ref_=chttp_t_111,"1,820",100,Nominated for 2 Oscars
https://www.imdb.com/title/tt0033467/?ref_=chttp_t_112,"2,020",100,Won 1 Oscar
https://www.imdb.com/title/tt0070735/?ref_=chttp_t_113,"2,263",83,Won 7 Oscars
https://www.imdb.com/title/tt0045152/?ref_=chttp_t_114,"2,511",99,Nominated for 2 Oscars
https://www.imdb.com/title/tt0053604/?ref_=chttp_t_115,"2,658",94,Won 5 Oscars
https://www.imdb.com/title/tt0036775/?ref_=chttp_t_116,"2,917",95,Nominated for 7 Oscars
https://www.imdb.com/title/tt1832382/?ref_=chttp_t_117,"3,047",95,Won 1 Oscar
https://www.imdb.com/title/tt5074352/?ref_=chttp_t_118,"3,169",N/A,Awards
https://www.imdb.com/title/tt0022100/?ref_=chttp_t_119,"3,184",N/A,Awards
https://www.imdb.com/title/tt0044741/?ref_=chttp_t_120,"3,360",92,Nominated for 1 BAFTA Award
https://www.imdb.com/title/tt0055031/?ref_=chttp_t_121,"4,963",60,Won 2 Oscars
https://www.imdb.com/title/tt0040522/?ref_=chttp_t_122,N/A,N/A,Nominated for 1 Oscar
https://www.imdb.com/title/tt0986264/?ref_=chttp_t_123,N/A,N/A,Awards
https://www.imdb.com/title/tt0993846/?ref_=chttp_t_124,111,75,Nominated for 5 Oscars
https://www.imdb.com/title/tt1745960/?ref_=chttp_t_125,199,78,Won 1 Oscar
https://www.imdb.com/title/tt0107290/?ref_=chttp_t_126,230,68,Won 3 Oscars
https://www.imdb.com/title/tt10872600/?ref_=chttp_t_127,245,71,Nominated for 1 Oscar
https://www.imdb.com/title/tt0372784/?ref_=chttp_t_128,261,70,Nominated for 1 Oscar
https://www.imdb.com/title/tt0105695/?ref_=chttp_t_129,263,85,Won 4 Oscars
https://www.imdb.com/title/tt0477348/?ref_=chttp_t_130,265,92,Won 4 Oscars
https://www.imdb.com/title/tt0084787/?ref_=chttp_t_131,281,57,Awards
https://www.imdb.com/title/tt1392214/?ref_=chttp_t_132,282,70,Nominated for 1 Oscar
https://www.imdb.com/title/tt1130884/?ref_=chttp_t_133,289,63,Awards
https://www.imdb.com/title/tt0095016/?ref_=chttp_t_134,320,72,Nominated for 4 Oscars
https://www.imdb.com/title/tt0093058/?ref_=chttp_t_135,358,78,Nominated for 1 Oscar
https://www.imdb.com/title/tt8579674/?ref_=chttp_t_136,398,78,Won 3 Oscars
https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137,401,90,Nominated for 3 Oscars
https://www.imdb.com/title/tt0075314/?ref_=chttp_t_138,402,94,Nominated for 4 Oscars
https://www.imdb.com/title/tt0167404/?ref_=chttp_t_139,419,64,Nominated for 6 Oscars
https://www.imdb.com/title/tt6966692/?ref_=chttp_t_140,437,69,Won 3 Oscars
https://www.imdb.com/title/tt0066921/?ref_=chttp_t_141,532,77,Nominated for 4 Oscars
https://www.imdb.com/title/tt0208092/?ref_=chttp_t_142,568,55,Awards
https://www.imdb.com/title/tt0469494/?ref_=chttp_t_143,586,93,Won 2 Oscars
https://www.imdb.com/title/tt0266697/?ref_=chttp_t_144,611,69,Nominated for 5 BAFTA Awards
https://www.imdb.com/title/tt0457430/?ref_=chttp_t_145,632,98,Won 3 Oscars
https://www.imdb.com/title/tt0112641/?ref_=chttp_t_146,673,73,Nominated for 1 Oscar
https://www.imdb.com/title/tt0268978/?ref_=chttp_t_147,685,72,Won 4 Oscars
https://www.imdb.com/title/tt0347149/?ref_=chttp_t_148,774,82,Nominated for 1 Oscar
https://www.imdb.com/title/tt0057115/?ref_=chttp_t_149,801,86,Nominated for 1 Oscar
https://www.imdb.com/title/tt0266543/?ref_=chttp_t_150,805,90,Won 1 Oscar
https://www.imdb.com/title/tt4729430/?ref_=chttp_t_151,827,65,Nominated for 1 Oscar
https://www.imdb.com/title/tt0119488/?ref_=chttp_t_152,"1,050",91,Won 2 Oscars
https://www.imdb.com/title/tt0097576/?ref_=chttp_t_153,"1,085",65,Won 1 Oscar
https://www.imdb.com/title/tt0363163/?ref_=chttp_t_154,"1,132",82,Nominated for 1 Oscar
https://www.imdb.com/title/tt0031381/?ref_=chttp_t_155,"1,343",97,Won 8 Oscars
https://www.imdb.com/title/tt1305806/?ref_=chttp_t_156,"1,498",80,Won 1 Oscar
https://www.imdb.com/title/tt0071853/?ref_=chttp_t_157,"1,515",91,Awards
https://www.imdb.com/title/tt10272386/?ref_=chttp_t_158,"1,528",88,Won 2 Oscars
https://www.imdb.com/title/tt0053291/?ref_=chttp_t_159,"1,750",98,Won 1 Oscar
https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160,"2,200",78,Nominated for 8 Oscars
https://www.imdb.com/title/tt0059578/?ref_=chttp_t_161,"2,404",74,Awards
https://www.imdb.com/title/tt0042192/?ref_=chttp_t_162,"2,478",98,Won 6 Oscars
https://www.imdb.com/title/tt0089881/?ref_=chttp_t_163,"3,044",97,Won 1 Oscar
https://www.imdb.com/title/tt0046912/?ref_=chttp_t_164,"4,002",75,Nominated for 1 BAFTA Award
https://www.imdb.com/title/tt0042876/?ref_=chttp_t_165,"4,483",98,Nominated for 1 Oscar
https://www.imdb.com/title/tt0055630/?ref_=chttp_t_166,N/A,93,Nominated for 1 Oscar
