title,year,run_time,IMBD_rating_2024,url
105. Citizen Kane,1941,1h 59m,8.3,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_112
116. The Sting,1973,2h 9m,8.3,https://www.imdb.com/title/tt0070735/?ref_=chttp_t_113
88. Singin' in the Rain,1952,1h 43m,8.3,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_114
100. The Apartment,1960,2h 5m,8.3,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_115
104. Double Indemnity,1944,1h 47m,8.3,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_116
115. A Separation,2011,2h 3m,8.3,https://www.imdb.com/title/tt1832382/?ref_=chttp_t_117
128. Dangal,2016,2h 41m,8.3,https://www.imdb.com/title/tt5074352/?ref_=chttp_t_118
106. M,1931,1h 39m,8.3,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_119
96. Ikiru,1952,2h 23m,8.3,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_120
135. Judgment at Nuremberg,1961,2h 59m,8.3,https://www.imdb.com/title/tt0055031/?ref_=chttp_t_121
124. Bicycle Thieves,1948,1h 29m,8.3,https://www.imdb.com/title/tt0040522/?ref_=chttp_t_122
119. Like Stars on Earth,2007,2h 42m,8.3,https://www.imdb.com/title/tt0986264/?ref_=chttp_t_123
129. The Wolf of Wall Street,2013,3h,8.2,https://www.imdb.com/title/tt0993846/?ref_=chttp_t_124
143. Top Gun: Maverick,2022,2h 10m,8.2,https://www.imdb.com/title/tt1745960/?ref_=chttp_t_125
141. Jurassic Park,1993,2h 7m,8.2,https://www.imdb.com/title/tt0107290/?ref_=chttp_t_126
177. Spider-Man: No Way Home,2021,2h 28m,8.2,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_127
130. Batman Begins,2005,2h 20m,8.2,https://www.imdb.com/title/tt0372784/?ref_=chttp_t_128
148. Unforgiven,1992,2h 10m,8.2,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_129
147. No Country for Old Men,2007,2h 2m,8.2,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_130
149. The Thing,1982,1h 49m,8.2,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_131
155. Prisoners,2013,2h 33m,8.2,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_132
138. Shutter Island,2010,2h 18m,8.2,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_133
117. Die Hard,1988,2h 12m,8.2,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_134
109. Full Metal Jacket,1987,1h 56m,8.2,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_135
122. 1917,2019,1h 59m,8.2,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_136
134. The Truman Show,1998,1h 43m,8.2,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
126. Taxi Driver,1976,1h 54m,8.2,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_138
144. The Sixth Sense,1999,1h 47m,8.2,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_139
132. Green Book,2018,2h 10m,8.2,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_140
113. A Clockwork Orange,1971,2h 16m,8.2,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_141
121. Snatch,2000,1h 42m,8.2,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_142
140. There Will Be Blood,2007,2h 38m,8.2,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_143
151. Kill Bill: Vol. 1,2003,1h 51m,8.2,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_144
146. Pan's Labyrinth,2006,1h 58m,8.2,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_145
142. Casino,1995,2h 58m,8.2,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_146
150. A Beautiful Mind,2001,2h 15m,8.2,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_147
159. Howl's Moving Castle,2004,1h 59m,8.2,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_148
156. The Great Escape,1963,2h 52m,8.2,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_149
157. Finding Nemo,2003,1h 40m,8.2,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_150
171. Klaus,2019,1h 36m,8.2,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_151
123. L.A. Confidential,1997,2h 18m,8.2,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_152
118. Indiana Jones and the Last Crusade,1989,2h 7m,8.2,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_153
125. Downfall,2004,2h 36m,8.2,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_154
163. Gone with the Wind,1939,3h 58m,8.2,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_155
